symbol,name,cryptocurrency,currency,summary,exchange,market
ACH-JPY,AlchemyPay JPY,ACH,JPY,"Alchemy Pay (ACH) is a cryptocurrency . Alchemy Pay has a current supply of 10,000,000,000 with 2,073,916,604.420616 in circulation. The last known price of Alchemy Pay is 0.0079481 USD and is down -6.17 over the last 24 hours. It is currently trading on 17 active market(s) with $3,090,383.98 traded over the last 24 hours. More information can be found at https://www.alchemytech.io/.",CCC,ccc_market
ACH-KRW,AlchemyPay KRW,ACH,KRW,"Alchemy Pay (ACH) is a cryptocurrency . Alchemy Pay has a current supply of 10,000,000,000 with 2,073,916,604.420616 in circulation. The last known price of Alchemy Pay is 0.0079481 USD and is down -6.17 over the last 24 hours. It is currently trading on 17 active market(s) with $3,090,383.98 traded over the last 24 hours. More information can be found at https://www.alchemytech.io/.",CCC,ccc_market
ACH-RUB,AlchemyPay RUB,ACH,RUB,"Alchemy Pay (ACH) is a cryptocurrency . Alchemy Pay has a current supply of 10,000,000,000 with 2,073,916,604.420616 in circulation. The last known price of Alchemy Pay is 0.0079481 USD and is down -6.17 over the last 24 hours. It is currently trading on 17 active market(s) with $3,090,383.98 traded over the last 24 hours. More information can be found at https://www.alchemytech.io/.",CCC,ccc_market
ACH-USD,AlchemyPay USD,ACH,USD,"Alchemy Pay (ACH) is a cryptocurrency . Alchemy Pay has a current supply of 10,000,000,000 with 2,073,916,604.420616 in circulation. The last known price of Alchemy Pay is 0.0079481 USD and is down -6.17 over the last 24 hours. It is currently trading on 17 active market(s) with $3,090,383.98 traded over the last 24 hours. More information can be found at https://www.alchemytech.io/.",CCC,ccc_market
ACT-CAD,Achain CAD,ACT,CAD,"Achain (ACT) is a cryptocurrency . Achain has a current supply of 1,000,000,000 with 987,999,997.97063 in circulation. The last known price of Achain is 0.02117714 USD and is down -4.51 over the last 24 hours. It is currently trading on 17 active market(s) with $4,650,460.00 traded over the last 24 hours. More information can be found at https://www.achain.com/.",CCC,ccc_market
ACT-CNY,Achain CNY,ACT,CNY,"Achain (ACT) is a cryptocurrency . Achain has a current supply of 1,000,000,000 with 987,999,997.97063 in circulation. The last known price of Achain is 0.02117714 USD and is down -4.51 over the last 24 hours. It is currently trading on 17 active market(s) with $4,650,460.00 traded over the last 24 hours. More information can be found at https://www.achain.com/.",CCC,ccc_market
ACT-ETH,Achain ETH,ACT,ETH,"Achain (ACT) is a cryptocurrency . Achain has a current supply of 1,000,000,000 with 987,999,997.97063 in circulation. The last known price of Achain is 0.02117714 USD and is down -4.51 over the last 24 hours. It is currently trading on 17 active market(s) with $4,650,460.00 traded over the last 24 hours. More information can be found at https://www.achain.com/.",CCC,ccc_market
ACT-EUR,Achain EUR,ACT,EUR,"Achain (ACT) is a cryptocurrency . Achain has a current supply of 1,000,000,000 with 987,999,997.97063 in circulation. The last known price of Achain is 0.02117714 USD and is down -4.51 over the last 24 hours. It is currently trading on 17 active market(s) with $4,650,460.00 traded over the last 24 hours. More information can be found at https://www.achain.com/.",CCC,ccc_market
ACT-GBP,Achain GBP,ACT,GBP,"Achain (ACT) is a cryptocurrency . Achain has a current supply of 1,000,000,000 with 987,999,997.97063 in circulation. The last known price of Achain is 0.02117714 USD and is down -4.51 over the last 24 hours. It is currently trading on 17 active market(s) with $4,650,460.00 traded over the last 24 hours. More information can be found at https://www.achain.com/.",CCC,ccc_market
ACT-INR,Achain INR,ACT,INR,"Achain (ACT) is a cryptocurrency . Achain has a current supply of 1,000,000,000 with 987,999,997.97063 in circulation. The last known price of Achain is 0.02117714 USD and is down -4.51 over the last 24 hours. It is currently trading on 17 active market(s) with $4,650,460.00 traded over the last 24 hours. More information can be found at https://www.achain.com/.",CCC,ccc_market
ACT-JPY,Achain JPY,ACT,JPY,"Achain (ACT) is a cryptocurrency . Achain has a current supply of 1,000,000,000 with 987,999,997.97063 in circulation. The last known price of Achain is 0.02117714 USD and is down -4.51 over the last 24 hours. It is currently trading on 17 active market(s) with $4,650,460.00 traded over the last 24 hours. More information can be found at https://www.achain.com/.",CCC,ccc_market
ACT-KRW,Achain KRW,ACT,KRW,"Achain (ACT) is a cryptocurrency . Achain has a current supply of 1,000,000,000 with 987,999,997.97063 in circulation. The last known price of Achain is 0.02117714 USD and is down -4.51 over the last 24 hours. It is currently trading on 17 active market(s) with $4,650,460.00 traded over the last 24 hours. More information can be found at https://www.achain.com/.",CCC,ccc_market
ACT-RUB,Achain RUB,ACT,RUB,"Achain (ACT) is a cryptocurrency . Achain has a current supply of 1,000,000,000 with 987,999,997.97063 in circulation. The last known price of Achain is 0.02117714 USD and is down -4.51 over the last 24 hours. It is currently trading on 17 active market(s) with $4,650,460.00 traded over the last 24 hours. More information can be found at https://www.achain.com/.",CCC,ccc_market
ACT-USD,Achain USD,ACT,USD,"Achain (ACT) is a cryptocurrency . Achain has a current supply of 1,000,000,000 with 987,999,997.97063 in circulation. The last known price of Achain is 0.0229415 USD and is up 0.16 over the last 24 hours. It is currently trading on 17 active market(s) with $6,261,538.86 traded over the last 24 hours. More information can be found at https://www.achain.com/.",CCC,ccc_market
ADA-AUD,Cardano AUD,ADA,AUD,"Cardano (ADA) is a cryptocurrency . Users are able to generate ADA through the process of mining. Cardano has a current supply of 45,000,000,000 with 31,948,309,440.747799 in circulation. The last known price of Cardano is 1.37949601 USD and is up 2.85 over the last 24 hours. It is currently trading on 260 active market(s) with $3,427,082,340.87 traded over the last 24 hours. More information can be found at https://www.cardano.org.",CCC,ccc_market
ADA-CAD,Cardano CAD,ADA,CAD,"Cardano (ADA) is a cryptocurrency . Users are able to generate ADA through the process of mining. Cardano has a current supply of 45,000,000,000 with 31,948,309,440.747799 in circulation. The last known price of Cardano is 1.76395205 USD and is up 9.48 over the last 24 hours. It is currently trading on 260 active market(s) with $8,388,806,362.28 traded over the last 24 hours. More information can be found at https://www.cardano.org.",CCC,ccc_market
