symbol,name,summary,currency,sector,industry_group,industry,exchange,mic,market,country,state,city,zipcode,website,market_cap,isin,cusip,figi,composite_figi,shareclass_figi,delisted
ADNWW,"IES Holdings, Inc.","IES Holdings, Inc. designs and installs integrated electrical and technology systems, and provides infrastructure products and services in the United States. Its Commercial & Industrial segment offers electrical and mechanical design, construction, and maintenance services for office buildings, manufacturing facilities, data centers, chemical plants, refineries, wind farms, solar facilities, municipal infrastructures, and health care facilities. Its Communications segment designs, installs, and maintains network infrastructure within data centers for co-location and managed hosting customers; corporate, educational, financial, hospitality, and healthcare buildings; e-commerce distribution centers; and high-tech manufacturing facilities. This segment also provides design and installation services for audio/visual, telephone, fire, and wireless access and intrusion alarm systems; and engages in designing/building, servicing, and maintaining data network systems. Its Infrastructure Solutions segment maintains and repairs alternating and direct current electric motors and generators, and power generating and distribution equipment; manufactures custom-engineered metal enclosed bus duct solutions used in power distribution; manufactures custom commercial and industrial generator enclosures; manufactures, re-manufactures, and repairs industrial lifting magnets; and maintains and repairs railroad main and auxiliary generators, main alternators, and traction motors. Its Residential segment offers electrical installations to single-family housing and multi-family apartments; and cable television installations to residential and light commercial applications, as well as installs residential solar power for new construction and existing residences. The company was formerly known as Integrated Electrical Services, Inc. and changed its name to IES Holdings, Inc. in May 2016. The company was founded in 1997 and is headquartered in Houston, Texas.",USD,Industrials,Capital Goods,Construction & Engineering,NCM,XNAS,NASDAQ Capital Market,United States,TX,Houston,77056,http://www.ies-co.com,Nano Cap,,,,,,True
ADOCR,Edoc Acquisition Corp.,"Edoc Acquisition Corp. focuses on acquiring, engaging in a share exchange, share reconstruction and amalgamation with, purchasing all or substantially all of the assets of, entering into contractual arrangements with, or engaging in any other similar business combination with one or more businesses or entities in the healthcare sector. The company was founded in 2020 and is based in Victor, New York.",USD,Financials,Diversified Financials,Diversified Financial Services,NCM,XNAS,NASDAQ Capital Market,United States,NY,Victor,14564,,Nano Cap,,,,,,True
AEAC,Authentic Equity Acquisition Corp.,"Authentic Equity Acquisition Corp. focuses on effecting a merger, capital stock exchange, asset acquisition, stock purchase, reorganization or similar business combination with one or more businesses. The company was founded in 2020 and is based in Rye, New York.",USD,Financials,Diversified Financials,Diversified Financial Services,NCM,XNAS,NASDAQ Capital Market,United States,NY,Rye,10580,,Micro Cap,,,,,,True
AEHR,Aehr Test Systems,"Aehr Test Systems primarily designs, engineers, manufactures, and sells test and burn-in equipment for use in the semiconductor industry in the United States, Asia, and Europe. It provides full wafer contact test systems, test during burn-in systems, test fixtures, and related accessories. The company offers Advanced Burn-in and Test System family of packaged part burn-in and test systems, which perform test during burn-in of complex devices, such as digital signal processors, microprocessors, microcontrollers, and systems-on-a-chip, as well as individual temperature control for high-power advanced logic devices. It also provides FOX systems, which are full wafer contact parallel test and burn-in systems designed to make contact with various pads of a wafer simultaneously; WaferPak contactor that includes a full-wafer probe card for use in testing wafers in FOX systems; DiePak carrier, a reusable and temporary package that enables integrated circuit (IC) manufacturers to perform test and burn-in of singulated bare die or very small multi-IC modules; and test fixtures that hold the devices undergoing test or burn-in and electrically connect the devices under test to the system electronics. In addition, the company offers WaferPak Aligner, which performs automatic alignment of the customer's wafer to the WaferPak contactor; and DiePak Loader that performs automatic loading of the customer's modules to the DiePak carrier. Further, Aehr Test Systems provides customer service and support programs, including system installation, system repair, applications engineering support, spare parts inventory, customer training, and documentation services. It markets and sells its products to semiconductor manufacturers, semiconductor contract assemblers, electronics manufacturers, and burn-in and test service companies through a network of distributors and sales representatives. Aehr Test Systems was founded in 1977 and is headquartered in Fremont, California.",USD,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,NCM,XNAS,NASDAQ Capital Market,United States,CA,Fremont,94539,http://www.aehr.com,Small Cap,US00760J1088,00760J108,BBG000BWM7Q8,BBG000BWM083,BBG001SB1CS4,False
AEMD,"Aethlon Medical, Inc.","Aethlon Medical, Inc., a medical technology company, focuses on developing products to diagnose and treat life and organ threatening diseases in the United States. The company is developing Aethlon Hemopurifier, a clinical-stage immunotherapeutic device that removes exosomes and life-threatening viruses from the human circulatory system. It is also developing TauSome, an exosomal biomarker candidate to diagnose chronic traumatic encephalopathy in living individuals. Aethlon Medical, Inc. has a collaboration with the University of Pittsburgh for studies related to head and neck cancer. The company is based in San Diego, California.",USD,Health Care,Health Care Equipment & Services,Health Care Technology,NCM,XNAS,NASDAQ Capital Market,United States,CA,San Diego,92123,http://www.aethlonmedical.com,Nano Cap,US00808Y3071,00808Y604,BBG000L7B4Z1,BBG000L78XT8,BBG001SDDHJ6,False
AESE,Allied Esports Entertainment Inc.,"Allied Esports Entertainment Inc. operates a premier public esports and entertainment company, consisting of the Allied Esports and World Poker Tour (WPT) businesses worldwide. The company has two segments, Gaming & Entertainment and E-Sports. It operates esports properties to connect players and fans via a network of connected arenas; a flagship gaming arena located at the Luxor Hotel in Las Vegas, Nevada; a mobile esports truck that serves as a battleground and content generation hub; and a studio for recording and streaming gaming events, as well as provides multiplayer video game competitions. The company also operates ClubWPT, an online poker club; PlayWPT, a web and mobile social poker; and Alpha8, a social poker product. In addition, it engages in the brand and music licensing business. Allied Esports Entertainment Inc. is headquartered in Irvine, California.",USD,Communication Services,Media & Entertainment,Entertainment,NCM,XNAS,NASDAQ Capital Market,United States,CA,Irvine,92614,http://www.alliedesportsent.com,Micro Cap,,,,,,True
AEYE,"AudioEye, Inc.","AudioEye, Inc. provides software solutions to Internet, print, broadcast, and other media to people regardless of their network connection, device, location, or disabilities in the United States. The company provides patented Internet content publication and distribution software that enables conversion of media into accessible formats, as well as allows for real time distribution on various Internet connected devices. It offers AudioEye, an always-on testing, remediation, and monitoring solution that improves conformance with web content accessibility guidelines; identifies and fixes the common accessibility errors and addresses a range of disabilities including dyslexia, color blindness, epilepsy, and others; and provides additional solutions to provide for enhanced compliance and accessibility, including periodic manual auditing, manual remediations, and legal support services, as well as PDF remediation services and audit reports to help customers with their digital accessibility needs. The company serves small- and medium-sized businesses, corporate enterprises, non-profit organizations, and federal government agencies, as well as foreign, state, and local governments and agencies through content management system partners, platform and agency partners, authorized resellers, and the marketplace. AudioEye, Inc. was incorporated in 2005 and is based in Tucson, Arizona.",USD,Information Technology,Software & Services,Software,NCM,XNAS,NASDAQ Capital Market,United States,AZ,Tucson,85711,http://www.audioeye.com,Micro Cap,,050734201,BBG002ZQLQB6,BBG002ZQLQB6,BBG002ZQLQC5,False
AFAQU,AF Acquisition Corp.,"AF Acquisition Corp. is a blank check company that engages in effecting a merger, capital stock exchange, asset acquisition, stock purchase, and reorganization. AF Acquisition Corp. was incorporated in 2021 and is based in Palm Beach, Florida.",USD,Financials,Diversified Financials,Diversified Financial Services,NCM,XNAS,NASDAQ Capital Market,United States,FL,Palm Beach,33480,,,,,,,,True
AFBI,"Affinity Bancshares, Inc.","Affinity Bancshares, Inc. operates as the holding company for Affinity Bank that provides various banking products and services. The company accepts various deposit accounts, including savings accounts, checking accounts, certificates of deposit, and individual retirement accounts. It also offers commercial and industrial, commercial real estate, one- to four-family residential real estate, construction and land, and consumer loans. In addition, the company invests in U.S. treasury securities; securities issued by the U.S. government and its agencies, or government sponsored enterprises, including mortgage-backed securities and collateralized mortgage obligations; corporate and municipal bonds; certificates of deposit in other financial institutions; and federal and money market funds. It operates a main and branch office in Covington, Georgia; a branch office in Atlanta, Georgia; and a commercial loan production office in Alpharetta, Georgia; as well as an out of an office in Monroe, Georgia. The company was founded in 1928 and is headquartered in Covington, Georgia.",USD,Financials,Banks,Banks,NCM,XNAS,NASDAQ Capital Market,United States,GA,Covington,30014,http://myaffinitybank.com,Micro Cap,,00832E103,BBG00XH58W17,BBG00XH58W17,BBG00XH58WY1,False
AGBA,AGBA Acquisition Limited,"AGBA Acquisition Limited does not have significant operations. It intends to effect a merger, share exchange, asset acquisition, stock purchase, recapitalization, reorganization, or other similar business combination with one or more businesses. The company was incorporated in 2018 and is based in Tsim Sha Tsui, Hong Kong.",USD,Financials,Diversified Financials,Diversified Financial Services,NCM,XNAS,NASDAQ Capital Market,Hong Kong,,Tsim Sha Tsui,,,Micro Cap,,,,,,True
