symbol,name,cryptocurrency,currency,summary,exchange,website
AE-GBP,Aeternity GBP,AE,GBP,Aeternity (AE) is a cryptocurrency. Users are able to generate AE through the process of mining.,CCC,https://www.aeternity.com/
AE-INR,Aeternity INR,AE,INR,Aeternity (AE) is a cryptocurrency. Users are able to generate AE through the process of mining.,CCC,https://www.aeternity.com/
AE-JPY,Aeternity JPY,AE,JPY,Aeternity (AE) is a cryptocurrency. Users are able to generate AE through the process of mining.,CCC,https://www.aeternity.com/
AE-KRW,Aeternity KRW,AE,KRW,Aeternity (AE) is a cryptocurrency. Users are able to generate AE through the process of mining.,CCC,https://www.aeternity.com/
AE-RUB,Aeternity RUB,AE,RUB,Aeternity (AE) is a cryptocurrency. Users are able to generate AE through the process of mining.,CCC,https://www.aeternity.com/
AE-USD,Aeternity USD,AE,USD,Aeternity (AE) is a cryptocurrency. Users are able to generate AE through the process of mining.,CCC,https://www.aeternity.com/
AIB-CAD,AdvancedInternetBlocks CAD,AIB,CAD,Advanced Internet Blocks (AIB) is a cryptocurrency. Users are able to generate AIB through the process of mining.,CCC,http://aib.iobond.com/
AIB-CNY,AdvancedInternetBlocks CNY,AIB,CNY,Advanced Internet Blocks (AIB) is a cryptocurrency. Users are able to generate AIB through the process of mining.,CCC,http://aib.iobond.com/
AIB-ETH,AdvancedInternetBlocks ETH,AIB,ETH,Advanced Internet Blocks (AIB) is a cryptocurrency. Users are able to generate AIB through the process of mining.,CCC,http://aib.iobond.com/
AIB-EUR,AdvancedInternetBlocks EUR,AIB,EUR,Advanced Internet Blocks (AIB) is a cryptocurrency. Users are able to generate AIB through the process of mining.,CCC,http://aib.iobond.com/
AIB-GBP,AdvancedInternetBlocks GBP,AIB,GBP,Advanced Internet Blocks (AIB) is a cryptocurrency. Users are able to generate AIB through the process of mining.,CCC,http://aib.iobond.com/
AIB-INR,AdvancedInternetBlocks INR,AIB,INR,Advanced Internet Blocks (AIB) is a cryptocurrency. Users are able to generate AIB through the process of mining.,CCC,http://aib.iobond.com/
AIB-JPY,AdvancedInternetBlocks JPY,AIB,JPY,Advanced Internet Blocks (AIB) is a cryptocurrency. Users are able to generate AIB through the process of mining.,CCC,http://aib.iobond.com/
AIB-KRW,AdvancedInternetBlocks KRW,AIB,KRW,Advanced Internet Blocks (AIB) is a cryptocurrency. Users are able to generate AIB through the process of mining.,CCC,http://aib.iobond.com/
AIB-RUB,AdvancedInternetBlocks RUB,AIB,RUB,Advanced Internet Blocks (AIB) is a cryptocurrency. Users are able to generate AIB through the process of mining.,CCC,http://aib.iobond.com/
AIB-USD,AdvancedInternetBlocks USD,AIB,USD,Advanced Internet Blocks (AIB) is a cryptocurrency. Users are able to generate AIB through the process of mining.,CCC,http://aib.iobond.com/
AION-EUR,Aion EUR,AION,EUR,Aion (AION) is a cryptocurrency. Users are able to generate AION through the process of mining.,CCC,https://theoan.com/
AION-GBP,Aion GBP,AION,GBP,Aion (AION) is a cryptocurrency. Users are able to generate AION through the process of mining.,CCC,https://theoan.com/
AION-INR,Aion INR,AION,INR,Aion (AION) is a cryptocurrency. Users are able to generate AION through the process of mining.,CCC,https://theoan.com/
AION-JPY,Aion JPY,AION,JPY,Aion (AION) is a cryptocurrency. Users are able to generate AION through the process of mining.,CCC,https://theoan.com/
AION-KRW,Aion KRW,AION,KRW,Aion (AION) is a cryptocurrency. Users are able to generate AION through the process of mining.,CCC,https://theoan.com/
AION-RUB,Aion RUB,AION,RUB,Aion (AION) is a cryptocurrency. Users are able to generate AION through the process of mining.,CCC,https://theoan.com/
AION-USD,Aion USD,AION,USD,Aion (AION) is a cryptocurrency. Users are able to generate AION through the process of mining.,CCC,https://theoan.com/
ALGO-AUD,Algorand AUD,ALGO,AUD,Algorand (ALGO) is a cryptocurrency.,CCC,http://algorand.foundation
ALGO-BTC,Algorand BTC,ALGO,BTC,Algorand (ALGO) is a cryptocurrency.,CCC,http://algorand.foundation
ALGO-CAD,Algorand CAD,ALGO,CAD,Algorand (ALGO) is a cryptocurrency.,CCC,http://algorand.foundation
ALGO-CNY,Algorand CNY,ALGO,CNY,Algorand (ALGO) is a cryptocurrency.,CCC,http://algorand.foundation
ALGO-ETH,Algorand ETH,ALGO,ETH,Algorand (ALGO) is a cryptocurrency.,CCC,http://algorand.foundation
ALGO-EUR,Algorand EUR,ALGO,EUR,Algorand (ALGO) is a cryptocurrency.,CCC,http://algorand.foundation
ALGO-GBP,Algorand GBP,ALGO,GBP,Algorand (ALGO) is a cryptocurrency.,CCC,http://algorand.foundation
ALGO-INR,Algorand INR,ALGO,INR,Algorand (ALGO) is a cryptocurrency.,CCC,http://algorand.foundation
ALGO-JPY,Algorand JPY,ALGO,JPY,Algorand (ALGO) is a cryptocurrency.,CCC,http://algorand.foundation
ALGO-KRW,Algorand KRW,ALGO,KRW,Algorand (ALGO) is a cryptocurrency.,CCC,http://algorand.foundation
ALGO-RUB,Algorand RUB,ALGO,RUB,Algorand (ALGO) is a cryptocurrency.,CCC,http://algorand.foundation
ALGO-USD,Algorand USD,ALGO,USD,Algorand (ALGO) is a cryptocurrency.,CCC,http://algorand.foundation
ALIAS-CAD,Alias CAD,ALIAS,CAD,Alias (ALIAS) is a cryptocurrency.,CCC,https://alias.cash
ALIAS-CNY,Alias CNY,ALIAS,CNY,Alias (ALIAS) is a cryptocurrency.,CCC,https://alias.cash
ALIAS-ETH,Alias ETH,ALIAS,ETH,Alias (ALIAS) is a cryptocurrency.,CCC,https://alias.cash
ALIAS-EUR,Alias EUR,ALIAS,EUR,Alias (ALIAS) is a cryptocurrency.,CCC,https://alias.cash
ALIAS-GBP,Alias GBP,ALIAS,GBP,Alias (ALIAS) is a cryptocurrency.,CCC,https://alias.cash
ALIAS-INR,Alias INR,ALIAS,INR,Alias (ALIAS) is a cryptocurrency.,CCC,https://alias.cash
ALIAS-JPY,Alias JPY,ALIAS,JPY,Alias (ALIAS) is a cryptocurrency.,CCC,https://alias.cash
ALIAS-KRW,Alias KRW,ALIAS,KRW,Alias (ALIAS) is a cryptocurrency.,CCC,https://alias.cash
ALIAS-RUB,Alias RUB,,,,CCC,
ALIAS-USD,Alias USD,ALIAS,USD,Alias (ALIAS) is a cryptocurrency.,CCC,https://alias.cash
AMB-BTC,Ambrosus BTC,AMB,BTC,Ambrosus (AMB) is a cryptocurrency.,CCC,http://ambrosus.com/
AMB-CAD,Ambrosus CAD,AMB,CAD,Ambrosus (AMB) is a cryptocurrency.,CCC,http://ambrosus.com/
AMB-CNY,Ambrosus CNY,AMB,CNY,Ambrosus (AMB) is a cryptocurrency.,CCC,http://ambrosus.com/
AMB-ETH,Ambrosus ETH,AMB,ETH,Ambrosus (AMB) is a cryptocurrency.,CCC,http://ambrosus.com/
AMB-EUR,Ambrosus EUR,AMB,EUR,Ambrosus (AMB) is a cryptocurrency.,CCC,http://ambrosus.com/
AMB-GBP,Ambrosus GBP,AMB,GBP,Ambrosus (AMB) is a cryptocurrency.,CCC,http://ambrosus.com/
AMB-INR,Ambrosus INR,AMB,INR,Ambrosus (AMB) is a cryptocurrency.,CCC,http://ambrosus.com/
AMB-JPY,Ambrosus JPY,AMB,JPY,Ambrosus (AMB) is a cryptocurrency.,CCC,http://ambrosus.com/
AMB-KRW,Ambrosus KRW,AMB,KRW,Ambrosus (AMB) is a cryptocurrency.,CCC,http://ambrosus.com/
AMB-RUB,Ambrosus RUB,AMB,RUB,Ambrosus (AMB) is a cryptocurrency.,CCC,http://ambrosus.com/
AMB-USD,Ambrosus USD,AMB,USD,Ambrosus (AMB) is a cryptocurrency.,CCC,http://ambrosus.com/
AMP1-CAD,Amp CAD,AMP1,CAD,Amp (AMP) is a cryptocurrency and operates on the Ethereum platform.,CCC,https://amptoken.org
AMP1-CNY,Amp CNY,AMP1,CNY,Amp (AMP) is a cryptocurrency and operates on the Ethereum platform.,CCC,https://amptoken.org
AMP1-ETH,Amp ETH,AMP1,ETH,Amp (AMP) is a cryptocurrency and operates on the Ethereum platform.,CCC,https://amptoken.org
